State,Year,Quarter,Type,Name,Registered_users
india,2019,4,District,rangareddy,2001437
india,2019,4,District,medchal malkajgiri,1714832
india,2019,4,District,north twenty four parganas,1638605
india,2019,4,State,maharashtra,23745297
india,2019,4,State,uttar pradesh,17949542
india,2019,4,State,karnataka,15385416
india,2019,4,State,andhra pradesh,11757883
india,2019,4,State,telangana,11220691
india,2019,4,State,rajasthan,10925031
india,2019,4,State,west bengal,10885058
india,2019,4,State,tamil nadu,9620493
india,2019,4,State,gujarat,9323799
india,2019,4,State,madhya pradesh,9165241
india,2020,1,District,bengaluru urban,7564577
india,2020,1,District,pune,4802397
india,2020,1,District,jaipur,2966508
india,2020,1,District,thane,2878073
india,2020,1,District,mumbai suburban,2843378
india,2020,1,District,hyderabad,2483843
india,2020,1,District,ahmadabad,2185983
india,2020,1,District,rangareddy,2166829
india,2020,1,District,medchal malkajgiri,1845599
india,2020,1,District,north twenty four parganas,1789973
india,2020,1,State,maharashtra,26168390
india,2020,1,State,uttar pradesh,20136256
india,2020,1,State,karnataka,17016980
india,2020,1,State,andhra pradesh,13022060
india,2020,1,State,telangana,12306860
india,2020,1,State,rajasthan,12142053
india,2020,1,State,west bengal,11960822
india,2020,1,State,tamil nadu,10872368
india,2020,1,State,gujarat,10259843
india,2020,1,State,madhya pradesh,10151371
india,2020,2,District,bengaluru urban,8028070
india,2020,2,District,pune,5144688
india,2020,2,District,jaipur,3182014
india,2020,2,District,thane,3135101
india,2020,2,District,mumbai suburban,3060916
india,2020,2,District,hyderabad,2653534
india,2020,2,District,ahmadabad,2384154
india,2020,2,District,rangareddy,2313748
india,2020,2,District,north twenty four parganas,1966125
india,2020,2,District,medchal malkajgiri,1963353
india,2020,2,State,maharashtra,28765086
india,2020,2,State,uttar pradesh,22498519
india,2020,2,State,karnataka,18655366
india,2020,2,State,andhra pradesh,14319675
india,2020,2,State,rajasthan,13563201
india,2020,2,State,telangana,13378191
india,2020,2,State,west bengal,13222022
india,2020,2,State,tamil nadu,12150786
india,2020,2,State,gujarat,11392657
india,2020,2,State,madhya pradesh,11374423
india,2020,3,District,bengaluru urban,8611452
india,2020,3,District,pune,5546002
india,2020,3,District,jaipur,3433167
india,2020,3,District,thane,3401853
india,2020,3,District,mumbai suburban,3304696
india,2020,3,District,hyderabad,2875965
india,2020,3,District,ahmadabad,2580178
india,2020,3,District,rangareddy,2495699
india,2020,3,District,north twenty four parganas,2143943
india,2020,3,District,medchal malkajgiri,2111567
india,2020,3,State,maharashtra,31409513
india,2020,3,State,uttar pradesh,24838116
india,2020,3,State,karnataka,20487550
india,2020,3,State,andhra pradesh,15692405
india,2020,3,State,rajasthan,14969412
india,2020,3,State,telangana,14590882
india,2020,3,State,west bengal,14448366
india,2020,3,State,tamil nadu,13643451
india,2020,3,State,madhya pradesh,12564224
india,2020,3,State,gujarat,12467847
india,2020,4,District,bengaluru urban,9286243
india,2020,4,District,pune,6033615
india,2020,4,District,thane,3727358
india,2020,4,District,jaipur,3679874
india,2020,4,District,mumbai suburban,3609970
india,2020,4,District,hyderabad,3142385
india,2020,4,District,ahmadabad,2787991
india,2020,4,District,rangareddy,2704868
india,2020,4,District,north twenty four parganas,2321888
india,2020,4,District,medchal malkajgiri,2282695
india,2020,4,State,maharashtra,34432631
india,2020,4,State,uttar pradesh,27249134
india,2020,4,State,karnataka,22400182
india,2020,4,State,andhra pradesh,17076565
india,2020,4,State,rajasthan,16329494
india,2020,4,State,telangana,15927797
india,2020,4,State,west bengal,15662093
india,2020,4,State,tamil nadu,15357586
india,2020,4,State,madhya pradesh,13737947
india,2020,4,State,gujarat,13605203
india,2021,1,District,bengaluru urban,9955387
india,2021,1,District,pune,6481971
india,2021,1,District,thane,4014464
india,2021,1,District,jaipur,3951866
india,2021,1,District,mumbai suburban,3886500
india,2021,1,District,hyderabad,3379663
india,2021,1,District,ahmadabad,2999575
india,2021,1,District,rangareddy,2906635
india,2021,1,District,north twenty four parganas,2491076
india,2021,1,District,surat,2458596
india,2021,1,State,maharashtra,37077537
india,2021,1,State,uttar pradesh,29482075
india,2021,1,State,karnataka,24095832
india,2021,1,State,andhra pradesh,18363733
india,2021,1,State,rajasthan,17661088
india,2021,1,State,telangana,17149069
india,2021,1,State,west bengal,16808799
india,2021,1,State,tamil nadu,16632608
india,2021,1,State,madhya pradesh,14839427
india,2021,1,State,gujarat,14670126
india,2021,2,District,bengaluru urban,10604609
india,2021,2,District,pune,6915820
india,2021,2,District,thane,4290066
india,2021,2,District,jaipur,4226231
india,2021,2,District,mumbai suburban,4151227
india,2021,2,District,hyderabad,3598337
india,2021,2,District,ahmadabad,3209841
india,2021,2,District,rangareddy,3097973
india,2021,2,District,north twenty four parganas,2660664
india,2021,2,District,surat,2633443
india,2021,2,State,maharashtra,39664697
india,2021,2,State,uttar pradesh,31651894
india,2021,2,State,karnataka,25751023
india,2021,2,State,andhra pradesh,19620905
india,2021,2,State,rajasthan,18980985
india,2021,2,State,telangana,18306880
india,2021,2,State,west bengal,17979979
india,2021,2,State,tamil nadu,17804542
india,2021,2,State,madhya pradesh,15940935
india,2021,2,State,gujarat,15735981
india,2021,3,District,bengaluru urban,11321012
india,2021,3,District,pune,7398336
india,2021,3,District,thane,4597394
india,2021,3,District,jaipur,4534297
india,2021,3,District,mumbai suburban,4444495
india,2021,3,District,hyderabad,3839513
india,2021,3,District,ahmadabad,3445024
india,2021,3,District,rangareddy,3310906
india,2021,3,District,north twenty four parganas,2852030
india,2021,3,District,surat,2830392
india,2021,3,State,maharashtra,42581217
india,2021,3,State,uttar pradesh,34151882
india,2021,3,State,karnataka,27614221
india,2021,3,State,andhra pradesh,21059898
india,2021,3,State,rajasthan,20499465
india,2021,3,State,telangana,19615278
india,2021,3,State,west bengal,19323278
india,2021,3,State,tamil nadu,19127440
india,2021,3,State,madhya pradesh,17210233
india,2021,3,State,gujarat,16946761
india,2021,4,District,bengaluru urban,12038775
india,2021,4,District,pune,7880431
india,2021,4,District,thane,4906492
india,2021,4,District,jaipur,4841883
india,2021,4,District,mumbai suburban,4740546
india,2021,4,District,hyderabad,4081185
india,2021,4,District,ahmadabad,3679243
india,2021,4,District,rangareddy,3523496
india,2021,4,District,north twenty four parganas,3043008
india,2021,4,District,surat,3026960
india,2021,4,State,maharashtra,45482506
india,2021,4,State,uttar pradesh,36617655
india,2021,4,State,karnataka,29459646
india,2021,4,State,andhra pradesh,22489029
india,2021,4,State,rajasthan,21977202
india,2021,4,State,telangana,20917649
india,2021,4,State,west bengal,20644527
india,2021,4,State,tamil nadu,20433142
india,2021,4,State,madhya pradesh,18456243
india,2021,4,State,gujarat,18139201
india,2022,1,District,bengaluru urban,12707664
india,2022,1,District,pune,8331582
india,2022,1,District,thane,5196050
india,2022,1,District,jaipur,5133527
india,2022,1,District,mumbai suburban,5017556
india,2022,1,District,hyderabad,4306136
india,2022,1,District,ahmadabad,3897869
india,2022,1,District,rangareddy,3722676
india,2022,1,District,north twenty four parganas,3224459
india,2022,1,District,surat,3210535
india,2022,1,State,maharashtra,48227630
india,2022,1,State,uttar pradesh,38999692
india,2022,1,State,karnataka,31200349
india,2022,1,State,andhra pradesh,23857951
india,2022,1,State,rajasthan,23398857
india,2022,1,State,telangana,22150612
india,2022,1,State,west bengal,21919787
india,2022,1,State,tamil nadu,21667020
india,2022,1,State,madhya pradesh,19656147
india,2022,1,State,gujarat,19265314
india,2022,2,District,bengaluru urban,13342916
india,2022,2,District,pune,8757249
india,2022,2,District,thane,5471749
india,2022,2,District,jaipur,5409763
india,2022,2,District,mumbai suburban,5281053
india,2022,2,District,hyderabad,4519625
india,2022,2,District,ahmadabad,4105172
india,2022,2,District,rangareddy,3911372
india,2022,2,District,north twenty four parganas,3397791
india,2022,2,District,surat,3385398
india,2022,2,State,maharashtra,50802786
india,2022,2,State,uttar pradesh,41247289
india,2022,2,State,karnataka,32831447
india,2022,2,State,andhra pradesh,25157264
india,2022,2,State,rajasthan,24716181
india,2022,2,State,telangana,23314363
india,2022,2,State,west bengal,23124388
india,2022,2,State,tamil nadu,22829720
india,2022,2,State,madhya pradesh,20766417
india,2022,2,State,gujarat,20321596
india,2022,3,District,bengaluru urban,13997602
india,2022,3,District,pune,9194074
india,2022,3,District,thane,5757165
india,2022,3,District,jaipur,5696726
india,2022,3,District,mumbai suburban,5555095
india,2022,3,District,hyderabad,4739891
india,2022,3,District,ahmadabad,4319512
india,2022,3,District,rangareddy,4105107
india,2022,3,District,north twenty four parganas,3578500
india,2022,3,District,surat,3567767
india,2022,3,State,maharashtra,53432602
india,2022,3,State,uttar pradesh,43537920
india,2022,3,State,karnataka,34493994
india,2022,3,State,andhra pradesh,26496330
india,2022,3,State,rajasthan,26042948
india,2022,3,State,telangana,24506111
india,2022,3,State,west bengal,24372048
india,2022,3,State,tamil nadu,24019964
india,2022,3,State,madhya pradesh,21884220
india,2022,3,State,gujarat,21394721
india,2022,4,District,bengaluru urban,14654455
india,2022,4,District,pune,9622338
india,2022,4,District,thane,6042267
india,2022,4,District,jaipur,5975863
india,2022,4,District,mumbai suburban,5831539
india,2022,4,District,hyderabad,4962214
india,2022,4,District,ahmadabad,4530853
india,2022,4,District,rangareddy,4296707
india,2022,4,District,north twenty four parganas,3755017
india,2022,4,District,surat,3747780
india,2022,4,State,maharashtra,55954028
india,2022,4,State,uttar pradesh,45648650
india,2022,4,State,karnataka,36081698
india,2022,4,State,andhra pradesh,27778016
india,2022,4,State,rajasthan,27255927
india,2022,4,State,telangana,25656381
india,2022,4,State,west bengal,25536381
india,2022,4,State,tamil nadu,25136112
india,2022,4,State,madhya pradesh,22913924
india,2022,4,State,gujarat,22412353
india,2023,1,District,bengaluru urban,15290372
india,2023,1,District,pune,10037022
india,2023,1,District,thane,6314618
india,2023,1,District,jaipur,6247095
india,2023,1,District,mumbai suburban,6095695
india,2023,1,District,hyderabad,5176899
india,2023,1,District,ahmadabad,4734630
india,2023,1,District,rangareddy,4483193
india,2023,1,District,north twenty four parganas,3926974
india,2023,1,District,surat,3919829
india,2023,1,State,maharashtra,58470784
india,2023,1,State,uttar pradesh,47806049
india,2023,1,State,karnataka,37681426
india,2023,1,State,andhra pradesh,29065863
india,2023,1,State,rajasthan,28523031
india,2023,1,State,telangana,26804259
india,2023,1,State,west bengal,26732895
india,2023,1,State,tamil nadu,26270663
india,2023,1,State,madhya pradesh,24002818
india,2023,1,State,gujarat,23436230
india,2023,2,District,bengaluru urban,15812243
india,2023,2,District,pune,10396344
india,2023,2,District,thane,6552282
india,2023,2,District,jaipur,6490210
india,2023,2,District,mumbai suburban,6322778
india,2023,2,District,hyderabad,5349842
india,2023,2,District,ahmadabad,4913610
india,2023,2,District,rangareddy,4638501
india,2023,2,District,north twenty four parganas,4079270
india,2023,2,District,surat,4076929
india,2023,2,State,maharashtra,60766850
india,2023,2,State,uttar pradesh,49829833
india,2023,2,State,karnataka,39122314
india,2023,2,State,andhra pradesh,30240061
india,2023,2,State,rajasthan,29745609
india,2023,2,State,west bengal,27827662
india,2023,2,State,telangana,27814633
india,2023,2,State,tamil nadu,27317599
india,2023,2,State,madhya pradesh,25042930
india,2023,2,State,gujarat,24396768
india,2023,3,District,bengaluru urban,16382332
india,2023,3,District,pune,10780092
india,2023,3,District,thane,6802106
india,2023,3,District,jaipur,6745507
india,2023,3,District,mumbai suburban,6560867
india,2023,3,District,hyderabad,5543537
india,2023,3,District,ahmadabad,5105557
india,2023,3,District,rangareddy,4809474
india,2023,3,District,north twenty four parganas,4241525
india,2023,3,District,surat,4238878
india,2023,3,State,maharashtra,63150997
india,2023,3,State,uttar pradesh,51870932
india,2023,3,State,karnataka,40634390
india,2023,3,State,andhra pradesh,31493897
india,2023,3,State,rajasthan,30997182
india,2023,3,State,west bengal,28966414
india,2023,3,State,telangana,28896668
india,2023,3,State,tamil nadu,28405436
india,2023,3,State,madhya pradesh,26109033
india,2023,3,State,gujarat,25383429
india,2023,4,District,bengaluru urban,16895567
india,2023,4,District,pune,11135186
india,2023,4,District,thane,7044610
india,2023,4,District,jaipur,6983265
india,2023,4,District,mumbai suburban,6796218
india,2023,4,District,hyderabad,5720710
india,2023,4,District,ahmadabad,5282400
india,2023,4,District,rangareddy,4964411
india,2023,4,District,north twenty four parganas,4396190
india,2023,4,District,surat,4396038
india,2023,4,State,maharashtra,65422120
india,2023,4,State,uttar pradesh,53799813
india,2023,4,State,karnataka,42031396
india,2023,4,State,andhra pradesh,32658698
india,2023,4,State,rajasthan,32157348
india,2023,4,State,west bengal,30064546
india,2023,4,State,telangana,29902636
india,2023,4,State,tamil nadu,29452801
india,2023,4,State,madhya pradesh,27078072
india,2023,4,State,gujarat,26312655
india,2024,1,District,bengaluru urban,17506580
india,2024,1,District,pune,11546171
india,2024,1,District,thane,7314981
india,2024,1,District,jaipur,7253881
india,2024,1,District,mumbai suburban,7055629
india,2024,1,District,hyderabad,5928930
india,2024,1,District,ahmadabad,5485010
india,2024,1,District,rangareddy,5149421
india,2024,1,District,north twenty four parganas,4570438
india,2024,1,District,surat,4569769
india,2024,1,State,maharashtra,68016876
india,2024,1,State,uttar pradesh,56028765
india,2024,1,State,karnataka,43668141
india,2024,1,State,andhra pradesh,34008709
india,2024,1,State,rajasthan,33505514
india,2024,1,State,west bengal,31306843
india,2024,1,State,telangana,31082447
india,2024,1,State,tamil nadu,30638750
india,2024,1,State,madhya pradesh,28238554
india,2024,1,State,gujarat,27381972
india,2024,2,District,bengaluru urban,18127475
india,2024,2,District,pune,11964579
india,2024,2,District,thane,7591749
india,2024,2,District,jaipur,7522194
india,2024,2,District,mumbai suburban,7325715
india,2024,2,District,hyderabad,6138190
india,2024,2,District,ahmadabad,5693015
india,2024,2,District,rangareddy,5331711
india,2024,2,District,surat,4747919
india,2024,2,District,north twenty four parganas,4746814
india,2024,2,State,maharashtra,70597223
india,2024,2,State,uttar pradesh,58199149
india,2024,2,State,karnataka,45290606
india,2024,2,State,andhra pradesh,35303719
india,2024,2,State,rajasthan,34773619
india,2024,2,State,west bengal,32540397
india,2024,2,State,telangana,32232171
india,2024,2,State,tamil nadu,31818880
india,2024,2,State,madhya pradesh,29324466
india,2024,2,State,gujarat,28439885
india,2024,3,District,bengaluru urban,17566351
india,2024,3,District,pune,12392676
india,2024,3,District,thane,7103828
india,2024,3,District,mumbai suburban,6688601
india,2024,3,District,rangareddy,5769438
india,2024,3,District,hyderabad,5757304
india,2024,3,District,ahmedabad,5580316
india,2024,3,District,chennai,5387490
india,2024,3,District,jaipur,5219354
india,2024,3,District,surat,4957655
india,2024,3,State,maharashtra,69641161
india,2024,3,State,uttar pradesh,67922000
india,2024,3,State,karnataka,44548391
india,2024,3,State,rajasthan,35583171
india,2024,3,State,west bengal,33612828
india,2024,3,State,tamil nadu,32965209
india,2024,3,State,bihar,31899315
india,2024,3,State,madhya pradesh,31764084
india,2024,3,State,telangana,30776242
india,2024,3,State,andhra pradesh,29145303
india,2024,4,District,bengaluru urban,18101416
india,2024,4,District,pune,12734314
india,2024,4,District,thane,7300941
india,2024,4,District,mumbai suburban,6875379
india,2024,4,District,rangareddy,5988320
india,2024,4,District,hyderabad,5916910
india,2024,4,District,ahmedabad,5702922
india,2024,4,District,chennai,5541760
india,2024,4,District,jaipur,5371681
india,2024,4,District,north twenty four parganas,5085095
india,2024,4,State,maharashtra,71807805
india,2024,4,State,uttar pradesh,70474113
india,2024,4,State,karnataka,45917653
india,2024,4,State,rajasthan,36828375
india,2024,4,State,west bengal,34750181
india,2024,4,State,tamil nadu,33966610
india,2024,4,State,bihar,33345285
india,2024,4,State,madhya pradesh,32876660
india,2024,4,State,telangana,31726856
india,2024,4,State,andhra pradesh,29984431
andaman-&-nicobar-islands,2018,1,District,south andaman,5846
andaman-&-nicobar-islands,2018,1,District,north and middle andaman,632
andaman-&-nicobar-islands,2018,1,District,nicobars,262
andaman-&-nicobar-islands,2018,2,District,south andaman,8143
andaman-&-nicobar-islands,2018,2,District,north and middle andaman,911
andaman-&-nicobar-islands,2018,2,District,nicobars,351
andaman-&-nicobar-islands,2018,3,District,south andaman,10474
andaman-&-nicobar-islands,2018,3,District,north and middle andaman,1208
andaman-&-nicobar-islands,2018,3,District,nicobars,467
andaman-&-nicobar-islands,2018,4,District,south andaman,13133
andaman-&-nicobar-islands,2018,4,District,north and middle andaman,1553
andaman-&-nicobar-islands,2018,4,District,nicobars,536
andaman-&-nicobar-islands,2019,1,District,south andaman,15961
andaman-&-nicobar-islands,2019,1,District,north and middle andaman,2013
andaman-&-nicobar-islands,2019,1,District,nicobars,622
andaman-&-nicobar-islands,2019,2,District,south andaman,18621
andaman-&-nicobar-islands,2019,2,District,north and middle andaman,2417
andaman-&-nicobar-islands,2019,2,District,nicobars,693
andaman-&-nicobar-islands,2019,3,District,south andaman,20518
andaman-&-nicobar-islands,2019,3,District,north and middle andaman,2662
andaman-&-nicobar-islands,2019,3,District,nicobars,751
andaman-&-nicobar-islands,2019,4,District,south andaman,22202
andaman-&-nicobar-islands,2019,4,District,north and middle andaman,2955
andaman-&-nicobar-islands,2019,4,District,nicobars,803
andaman-&-nicobar-islands,2020,1,District,south andaman,24174
andaman-&-nicobar-islands,2020,1,District,north and middle andaman,3315
andaman-&-nicobar-islands,2020,1,District,nicobars,879
andaman-&-nicobar-islands,2020,2,District,south andaman,27626
andaman-&-nicobar-islands,2020,2,District,north and middle andaman,4100
andaman-&-nicobar-islands,2020,2,District,nicobars,984
andaman-&-nicobar-islands,2020,3,District,south andaman,34833
andaman-&-nicobar-islands,2020,3,District,north and middle andaman,5355
andaman-&-nicobar-islands,2020,3,District,nicobars,1147
andaman-&-nicobar-islands,2020,4,District,south andaman,43908
andaman-&-nicobar-islands,2020,4,District,north and middle andaman,7076
andaman-&-nicobar-islands,2020,4,District,nicobars,1412
andaman-&-nicobar-islands,2021,1,District,south andaman,48352
andaman-&-nicobar-islands,2021,1,District,north and middle andaman,7833
andaman-&-nicobar-islands,2021,1,District,nicobars,1573
andaman-&-nicobar-islands,2021,2,District,south andaman,51903
andaman-&-nicobar-islands,2021,2,District,north and middle andaman,8493
andaman-&-nicobar-islands,2021,2,District,nicobars,1699
andaman-&-nicobar-islands,2021,3,District,south andaman,55873
andaman-&-nicobar-islands,2021,3,District,north and middle andaman,9263
andaman-&-nicobar-islands,2021,3,District,nicobars,1846
andaman-&-nicobar-islands,2021,4,District,south andaman,59807
andaman-&-nicobar-islands,2021,4,District,north and middle andaman,10002
andaman-&-nicobar-islands,2021,4,District,nicobars,1971
andaman-&-nicobar-islands,2022,1,District,south andaman,63487
andaman-&-nicobar-islands,2022,1,District,north and middle andaman,10720
andaman-&-nicobar-islands,2022,1,District,nicobars,2081
andaman-&-nicobar-islands,2022,2,District,south andaman,66959
andaman-&-nicobar-islands,2022,2,District,north and middle andaman,11379
andaman-&-nicobar-islands,2022,2,District,nicobars,2192
andaman-&-nicobar-islands,2022,3,District,south andaman,70445
andaman-&-nicobar-islands,2022,3,District,north and middle andaman,11897
andaman-&-nicobar-islands,2022,3,District,nicobars,2300
andaman-&-nicobar-islands,2022,4,District,south andaman,73692
andaman-&-nicobar-islands,2022,4,District,north and middle andaman,12361
andaman-&-nicobar-islands,2022,4,District,nicobars,2389
andaman-&-nicobar-islands,2023,1,District,south andaman,77052
andaman-&-nicobar-islands,2023,1,District,north and middle andaman,12941
andaman-&-nicobar-islands,2023,1,District,nicobars,2491
andaman-&-nicobar-islands,2023,2,District,south andaman,80112
andaman-&-nicobar-islands,2023,2,District,north and middle andaman,13600
andaman-&-nicobar-islands,2023,2,District,nicobars,2617
andaman-&-nicobar-islands,2023,3,District,south andaman,83305
andaman-&-nicobar-islands,2023,3,District,north and middle andaman,14216
andaman-&-nicobar-islands,2023,3,District,nicobars,2734
andaman-&-nicobar-islands,2023,4,District,south andaman,86348
andaman-&-nicobar-islands,2023,4,District,north and middle andaman,14813
andaman-&-nicobar-islands,2023,4,District,nicobars,2817
andaman-&-nicobar-islands,2024,1,District,south andaman,89907
andaman-&-nicobar-islands,2024,1,District,north and middle andaman,15539
andaman-&-nicobar-islands,2024,1,District,nicobars,2965
andaman-&-nicobar-islands,2024,2,District,south andaman,93421
andaman-&-nicobar-islands,2024,2,District,north and middle andaman,16183
andaman-&-nicobar-islands,2024,2,District,nicobars,3083
andaman-&-nicobar-islands,2024,3,District,south andaman,143250
andaman-&-nicobar-islands,2024,3,District,north and middle andaman,21728
andaman-&-nicobar-islands,2024,3,District,nicobar,7495
andaman-&-nicobar-islands,2024,4,District,south andaman,148543
andaman-&-nicobar-islands,2024,4,District,north and middle andaman,22547
andaman-&-nicobar-islands,2024,4,District,nicobar,7698
andhra-pradesh,2018,1,District,visakhapatnam,497187
andhra-pradesh,2018,1,District,east godavari,350356
andhra-pradesh,2018,1,District,krishna,323673
andhra-pradesh,2018,1,District,guntur,317065
andhra-pradesh,2018,1,District,chittoor,309541
andhra-pradesh,2018,1,District,anantapur,241192
andhra-pradesh,2018,1,District,kurnool,240133
andhra-pradesh,2018,1,District,west godavari,213335
andhra-pradesh,2018,1,District,spsr nellore,194475
andhra-pradesh,2018,1,District,prakasam,189949
andhra-pradesh,2018,2,District,visakhapatnam,636052
andhra-pradesh,2018,2,District,east godavari,454398
andhra-pradesh,2018,2,District,krishna,431965
andhra-pradesh,2018,2,District,guntur,420326
andhra-pradesh,2018,2,District,chittoor,414306
andhra-pradesh,2018,2,District,anantapur,326383
andhra-pradesh,2018,2,District,kurnool,319313
andhra-pradesh,2018,2,District,west godavari,282393
andhra-pradesh,2018,2,District,spsr nellore,261049
andhra-pradesh,2018,2,District,prakasam,253458
andhra-pradesh,2018,3,District,visakhapatnam,769096
andhra-pradesh,2018,3,District,east godavari,558982
andhra-pradesh,2018,3,District,krishna,537086
andhra-pradesh,2018,3,District,guntur,518931
andhra-pradesh,2018,3,District,chittoor,515727
andhra-pradesh,2018,3,District,anantapur,405855
andhra-pradesh,2018,3,District,kurnool,394311
andhra-pradesh,2018,3,District,west godavari,349782
andhra-pradesh,2018,3,District,spsr nellore,322446
andhra-pradesh,2018,3,District,prakasam,314899
andhra-pradesh,2018,4,District,visakhapatnam,978288
andhra-pradesh,2018,4,District,east godavari,694455
